circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,81,81.0,31098.0,439.45
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,61.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,296.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S R NAGAR NORTH EWS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,7.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,170,163.0,85957.0,573.52
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,TRAFIC SIGNALS&CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,49.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,24.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1230.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,187.0,27.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,225.0,12.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,27.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,56597.0,521.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,479.0,9.75
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,181,181.0,52452.0,388.93
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,161,161.0,50072.0,216.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,16026.0,50.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1334.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,,0.0,2.0
